data,cidade,confirmado,suspeitos,obitos
2020-04-06, FORTALEZA , 999 , 4803 , 43 
2020-04-06, AQUIRAZ , 20 , 60 , 0 
2020-04-06, MARACANAU , 17 , 101 , 1 
2020-04-06, CAUCAIA , 15 , 182 , 0 
2020-04-06, SOBRAL , 11 , 359 , 0 
2020-04-06, Sem informação , 9 , 49 , 0 
2020-04-06, HORIZONTE , 6 , 43 , 1 
2020-04-06, QUIXADA , 4 , 29 , 0 
2020-04-06, JAGUARIBE , 3 , 17 , 1 
2020-04-06, JUAZEIRO DO NORTE , 3 , 69 , 0 
2020-04-06, ICO , 3 , 15 , 0 
2020-04-06, ITAITINGA , 2 , 26 , 1 
2020-04-06, MARANGUAPE , 2 , 61 , 0 
2020-04-06, PACATUBA , 2 , 29 , 0 
2020-04-06, EUSEBIO , 2 , 83 , 1 
2020-04-06, NOVO ORIENTE , 2 , 2 , 0 
2020-04-06, IGUATU , 2 , 26 , 1 
2020-04-06, ITAPAJE , 1 , 1 , 0 
2020-04-06, SANTA QUITERIA , 1 , 16 , 1 
2020-04-06, GUARACIABA DO NORTE , 1 , 7 , 0 
2020-04-06, CANINDE , 1 , 84 , 0 
2020-04-06, FARIAS BRITO , 1 , 4 , 1 
2020-04-06, CARIUS , 1 , 6 , 1 
2020-04-06, PEDRA BRANCA , 1 , 3 , 0 
2020-04-06, CRATEUS , 1 , 44 , 0 
2020-04-06, TIANGUA , 1 , 17 , 1 
2020-04-06, QUIXERAMOBIM , 1 , 12 , 0 
2020-04-06, SENADOR POMPEU , 1 , 6 , 0 
2020-04-06, LAVRAS DA MANGABEIRA , 1 , 6 , 0 
2020-04-06, AMONTADA , 1 , 14 , 0 
2020-04-06, CASCAVEL , 1 , 30 , 0 
2020-04-06, PINDORETAMA , 1 , 28 , 0 
2020-04-06, IPUEIRAS , 1 , 9 , 0 
2020-04-06, CROATA , 1 , 1 , 0 
2020-04-06, MAURITI , 1 , 5 , 0 
2020-04-06, BEBERIBE , 1 , 24 , 0 
2020-04-06, ITAPIPOCA , 1 , 45 , 0 
2020-04-06, LIMOEIRO DO NORTE , 1 , 16 , 0 
2020-04-06, FORTIM , 1 , 3 , 0 
2020-04-06, SANTANA DO ACARAU , 1 , 25 , 0 
2020-04-06, CATARINA , 1 , 3 , 0 
2020-04-06, IPAPORANGA , 1 , 5 , 0 
2020-04-06, ARACATI , 1 , 37 , 1 
2020-04-06, CAMOCIM , 0 , 14 , 0 
2020-04-06, IPAUMIRIM , 0 , 1 , 0 
2020-04-06, ABAIARA , 0 , 1 , 0 
2020-04-06, ITAICABA , 0 , 2 , 0 
2020-04-06, MULUNGU , 0 , 14 , 0 
2020-04-06, CARIDADE , 0 , 6 , 0 
2020-04-06, SALITRE , 0 , 1 , 0 
2020-04-06, SAO LUÍS DO CURU , 0 , 6 , 0 
2020-04-06, MORADA NOVA , 0 , 14 , 0 
2020-04-06, CARNAUBAL , 0 , 2 , 0 
2020-04-06, CEDRO , 0 , 4 , 0 
2020-04-06, ITAREMA , 0 , 10 , 0 
2020-04-06, ANTONINA DO NORTE , 0 , 1 , 0 
2020-04-06, CRUZ , 0 , 9 , 0 
2020-04-06, TARRAFAS , 0 , 2 , 0 
2020-04-06, ACARAPE , 0 , 4 , 0 
2020-04-06, ALTANEIRA , 0 , 2 , 0 
2020-04-06, COREAU , 0 , 10 , 0 
2020-04-06, MARCO , 0 , 7 , 0 
2020-04-06, CAPISTRANO , 0 , 3 , 0 
2020-04-06, ERERE , 0 , 2 , 0 
2020-04-06, POTENGI , 0 , 2 , 0 
2020-04-06, TEJUCUOCA , 0 , 4 , 0 
2020-04-06, MILHA , 0 , 1 , 0 
2020-04-06, RUSSAS , 0 , 35 , 0 
2020-04-06, SABOEIRO , 0 , 1 , 0 
2020-04-06, MIRAIMA , 0 , 1 , 0 
2020-04-06, ACARAU , 0 , 32 , 0 
2020-04-06, PALMACIA , 0 , 1 , 0 
2020-04-06, IRAUCUBA , 0 , 7 , 0 
2020-04-06, URUOCA , 0 , 15 , 0 
2020-04-06, BARRO , 0 , 4 , 0 
2020-04-06, PIQUET CARNEIRO , 0 , 1 , 0 
2020-04-06, TABULEIRO DO NORTE , 0 , 7 , 0 
2020-04-06, UMARI , 0 , 2 , 0 
2020-04-06, GROAIRAS , 0 , 4 , 0 
2020-04-06, CHAVAL , 0 , 1 , 0 
2020-04-06, PIRES FERREIRA , 0 , 4 , 0 
2020-04-06, MORRINHOS , 0 , 5 , 0 
2020-04-06, IBICUITINGA , 0 , 2 , 0 
2020-04-06, ICAPUI , 0 , 13 , 0 
2020-04-06, TAMBORIL , 0 , 5 , 0 
2020-04-06, MISSAO VELHA , 0 , 4 , 0 
2020-04-06, MOMBACA , 0 , 5 , 0 
2020-04-06, MUCAMBO , 0 , 32 , 0 
2020-04-06, PARAMBU , 0 , 4 , 0 
2020-04-06, ACOPIARA , 0 , 11 , 0 
2020-04-06, CARIRIACU , 0 , 6 , 0 
2020-04-06, ARATUBA , 0 , 3 , 0 
2020-04-06, TRAIRI , 0 , 7 , 0 
2020-04-06, VARJOTA , 0 , 3 , 0 
2020-04-06, GRANJA , 0 , 9 , 0 
2020-04-06, SENADOR SA , 0 , 1 , 0 
2020-04-06, JAGUARIBARA , 0 , 6 , 0 
2020-04-06, BOA VIAGEM , 0 , 11 , 0 
2020-04-06, PACUJA , 0 , 5 , 0 
2020-04-06, ARARENDA , 0 , 4 , 0 
2020-04-06, JAGUARETAMA , 0 , 5 , 0 
2020-04-06, MILAGRES , 0 , 3 , 0 
2020-04-06, PENAFORTE , 0 , 2 , 0 
2020-04-06, MASSAPE , 0 , 37 , 0 
2020-04-06, QUITERIANOPOLIS , 0 , 8 , 0 
2020-04-06, ITAPIUNA , 0 , 3 , 0 
2020-04-06, FRECHEIRINHA , 0 , 6 , 0 
2020-04-06, VARZEA ALEGRE , 0 , 5 , 0 
2020-04-06, IPU , 0 , 4 , 0 
2020-04-06, JIJOCA DE JERICOACOARA , 0 , 7 , 0 
2020-04-06, ARARIPE , 0 , 2 , 0 
2020-04-06, APUIARES , 0 , 4 , 0 
2020-04-06, ARNEIROZ , 0 , 2 , 0 
2020-04-06, BELA CRUZ , 0 , 4 , 0 
2020-04-06, JARDIM , 0 , 4 , 0 
2020-04-06, CHORÓ , 0 , 1 , 0 
2020-04-06, SAO GONCALO DO AMARANTE , 0 , 16 , 0 
2020-04-06, ITATIRA , 0 , 7 , 0 
2020-04-06, PARAIPABA , 0 , 7 , 0 
2020-04-06, INDEPENDENCIA , 0 , 3 , 0 
2020-04-06, ARACOIABA , 0 , 22 , 0 
2020-04-06, BARBALHA , 0 , 37 , 0 
2020-04-06, OCARA , 0 , 6 , 0 
2020-04-06, QUIXERE , 0 , 12 , 0 
2020-04-06, PACOTI , 0 , 8 , 0 
2020-04-06, JAGUARUANA , 0 , 12 , 0 
2020-04-06, UBAJARA , 0 , 5 , 0 
2020-04-06, MONSENHOR TABOSA , 0 , 2 , 0 
2020-04-06, NOVA OLINDA , 0 , 2 , 0 
2020-04-06, ALTO SANTO , 0 , 1 , 0 
2020-04-06, PARAMOTI , 0 , 5 , 0 
2020-04-06, REDENCAO , 0 , 11 , 0 
2020-04-06, CATUNDA , 0 , 1 , 0 
2020-04-06, BARROQUINHA , 0 , 7 , 0 
2020-04-06, SOLONOPOLE , 0 , 2 , 0 
2020-04-06, HIDROLANDIA , 0 , 5 , 0 
2020-04-06, BARREIRA , 0 , 7 , 0 
2020-04-06, GUARAMIRANGA , 0 , 4 , 0 
2020-04-06, CHOROZINHO , 0 , 3 , 0 
2020-04-06, SANTANA DO CARIRI , 0 , 1 , 0 
2020-04-06, BANABUIU , 0 , 4 , 0 
2020-04-06, FORQUILHA , 0 , 13 , 0 
2020-04-06, PARACURU , 0 , 3 , 0 
2020-04-06, MARTINOPOLE , 0 , 3 , 0 
2020-04-06, UMIRIM , 0 , 1 , 0 
2020-04-06, PACAJUS , 0 , 50 , 0 
2020-04-06, ALCANTARAS , 0 , 4 , 0 
2020-04-06, PENTECOSTE , 0 , 6 , 0 
2020-04-06, AURORA , 0 , 5 , 0 
2020-04-06, VICOSA DO CEARA , 0 , 9 , 0 
2020-04-06, ASSARE , 0 , 3 , 0 
2020-04-06, TAUA , 0 , 48 , 0 
2020-04-06, PEREIRO , 0 , 4 , 0 
2020-04-06, BREJO SANTO , 0 , 11 , 0 
2020-04-06, JUCAS , 0 , 5 , 0 
2020-04-06, GRACA , 0 , 2 , 0 
2020-04-06, CRATO , 0 , 43 , 0 
2020-04-06, MADALENA , 0 , 9 , 0 
2020-04-06, IBARETAMA , 0 , 7 , 0 
2020-04-06, CARIRE , 0 , 8 , 0 
2020-04-06, QUIXELO , 0 , 7 , 0 
2020-04-06, RERIUTABA , 0 , 2 , 0 
2020-04-06, NOVA RUSSAS , 0 , 1 , 0 
2020-04-06, PORANGA , 0 , 2 , 0 
2020-04-06, BAIXIO , 0 , 2 , 0 
2020-04-06, CAMPOS SALES , 0 , 4 , 0 
2020-04-06, MERUOCA , 0 , 11 , 0 
2020-04-06, MORAUJO , 0 , 9 , 0 
2020-04-06, SAO JOAO DO JAGUARIBE , 0 , 2 , 0 
2020-04-06, PALHANO , 0 , 1 , 0 
2020-04-06, GUAIÚBA , 0 , 6 , 0 
2020-04-06, SAO BENEDITO , 0 , 6 , 0 
2020-04-06, URUBURETAMA , 0 , 6 , 0 
2020-04-06, IBIAPINA , 0 , 8 , 0 
2020-04-06, BATURITÉ , 0 , 7 , 0 
2020-04-06, TURURU , 0 , 6 , 0 
